Cleanup Name,Location Address,City Name,State Code,Postal Code,County Name,EPA ID,Brownfields Link CSV,RCRA CSV,Superfund Link CSV,ECHO Link CSV,Response Link CSV,RE-Powering CSV,FRS Link CSV,Map Site CSV
COLORADO STATE UNIVERSITY (DISPOSAL),151 GENERAL SERVICES BOULEVARD,FORT COLLINS,CO,80521,LARIMER,COT090011529,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:COT090011529,,https://echo.epa.gov/detailed-facility-report?fid=110001138457,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110001138457,"https://map22.epa.gov/cimc/latLong&params=40.579978,-105.133738"
WALD L L C,FIFTH AND CENTER STS,MAYSVILLE,KY,41056,MASON,KYD980600043,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:KYD980600043,,https://echo.epa.gov/detailed-facility-report?fid=110000874894,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000874894,"https://map22.epa.gov/cimc/latLong&params=38.638889,-83.747222"
COMANCHE PEAK NUCLEAR POWER PLANT,6322 N FM 56,GLEN ROSE,TX,76043,SOMERVELL,TXD020332078,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:TXD020332078,,https://echo.epa.gov/detailed-facility-report?fid=110001143227,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110001143227,"https://map22.epa.gov/cimc/latLong&params=32.301231,-97.787659"
US ARMY 1ST ARMORED DIV & FORT BLISS RANGES,CHAFFEE AND DONIPHAN,EL PASO,TX,79916,EL PASO,TX4213720101,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:TX4213720101,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0603600,https://echo.epa.gov/detailed-facility-report?fid=110001143414,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110001143414,"https://map22.epa.gov/cimc/latLong&params=31.903852,-106.297379"
TECUMSEH REDEV INC,FOOT OF CAMPBELL STREET,WILLIAMSPORT,PA,17701,LYCOMING,PAD003053758,,https://www.epa.gov/node/134365,,https://echo.epa.gov/detailed-facility-report?fid=110001147018,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110001147018,"https://map22.epa.gov/cimc/latLong&params=41.234466,-77.016406"
DOWELL SCHLUMBERGER MONAHANS TEXAS FACILITY,OZARKA MAHONEY SERVICE ROAD,MONAHANS,TX,79756,WARD,TXD000803247,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:TXD000803247,,https://echo.epa.gov/detailed-facility-report?fid=110001147839,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110001147839,"https://map22.epa.gov/cimc/latLong&params=31.594812,-102.920914"
ERDA NEW BRUNSWICK LABORATORY,986 JERSEY AVE,NEW BRUNSWICK,NJ,08901,MIDDLESEX,NJ9890090013,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201179,,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110001534242,"https://map22.epa.gov/cimc/latLong&params=40.46895,-74.4771"
WILLIAM PRYM,400 HARTFORD PIKE,DAYVILLE,CT,06241,WINDHAM,CTD001140920,,https://www.epa.gov/hwcorrectiveactionsites/epa-rcra-id-CTD001140920,,https://echo.epa.gov/detailed-facility-report?fid=110000880137,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000880137,"https://map22.epa.gov/cimc/latLong&params=41.846878,-71.889803"
TORRINGTON LANDFILL,VISTA DR,TORRINGTON,CT,06790,LITCHFIELD,CTD991289513,,https://www.epa.gov/hwcorrectiveactionsites/epa-rcra-id-CTD991289513,,https://echo.epa.gov/detailed-facility-report?fid=110001172169,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110001172169,"https://map22.epa.gov/cimc/latLong&params=41.782,-73.124"
LUCAS AEROSPACE POWER TRANSMISSION CORP,211 SEWARD AVENUE,UTICA,NY,13503,ONEIDA,NYD002244911,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:NYD002244911,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201463,https://echo.epa.gov/detailed-facility-report?fid=110000807324,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000807324,"https://map22.epa.gov/cimc/latLong&params=43.082358,-75.280099"
USAFRC/ AMSA #20 BROKEN ARROW,1101 N. 6TH STREET,BROKEN ARROW,OK,74012,TULSA,OK7170022886,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0605164,,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000816430,"https://map22.epa.gov/cimc/latLong&params=,"
FAIRBANKS INTERNATIONAL AIRPORT,6450 AIRPORT WAY,FAIRBANKS,AK,99709,FAIRBANKS NORTH STAR,AK4690500174,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=1001751,,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000885891,"https://map22.epa.gov/cimc/latLong&params=64.816667,-147.855"
GROWS LDFL WASTE MGMT,1513 BORDENTOWN ROAD,MORRISVILLE,PA,19067,BUCKS,PAD000429589,,https://www.epa.gov/node/130549,,https://echo.epa.gov/detailed-facility-report?fid=110000817439,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000817439,"https://map22.epa.gov/cimc/latLong&params=40.149664,-74.76525"
U.S. DEFENSE LOGISTICS AGENCY CINCINNATI FUEL SUPPORT POINT,4820 RIVER RD,CINCINNATI,OH,45233,HAMILTON,OH9971590006,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0504941,,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000893169,"https://map22.epa.gov/cimc/latLong&params=39.115,-84.69"
US COAST GUARD BASE - PORTSMOUTH,4000 COAST GUARD BLVD,PORTSMOUTH,VA,23703,PORTSMOUTH CITY,VA4690320235,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0304338,,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000826081,"https://map22.epa.gov/cimc/latLong&params=37,-76.396667"
COMBINED SUPPORT MAINTENANCE SHOP C,1500 EAST HENRIETTA ROAD,ROCHESTER,NY,14623,MONROE,NY4210022279,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0204111,,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000900570,"https://map22.epa.gov/cimc/latLong&params=,"
ADVANCED ENVIRON TECHNICAL SERVICE,13005 S HAMLIN CT,ALSIP,IL,60803,COOK,ILD099215303,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:ILD099215303,,https://echo.epa.gov/detailed-facility-report?fid=110000905708,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000905708,"https://map22.epa.gov/cimc/latLong&params=41.65626,-87.713471"
BEAZER EAST INC - ORRVILLE,12873 BURTON CITY RD,ORRVILLE,OH,44667,WAYNE,OHD068911494,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD068911494,,https://echo.epa.gov/detailed-facility-report?fid=110000906217,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000906217,"https://map22.epa.gov/cimc/latLong&params=40.84414,-81.75391"
FAIRBANKS DISPOSAL PIT,8000 NE 51ST ST,GAINESVILLE,FL,32609,ALACHUA,FLD980799050,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:FLD980799050,,https://echo.epa.gov/detailed-facility-report?fid=110000907671,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000907671,"https://map22.epa.gov/cimc/latLong&params=29.727543,-82.264984"
TRW INC LOCKWOOD FACILITY,ONE TRW WY,SPARKS,NV,89434,WASHOE,NVD981654031,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:NVD981654031,,https://echo.epa.gov/detailed-facility-report?fid=110000907797,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000907797,"https://map22.epa.gov/cimc/latLong&params=39.50985,-119.6487"
GENERAL MOTORS CO NORTH AMERICAN TRUCK GROUP VALIDATION CENTER,200 SOUTH BOULEVARD,PONTIAC,MI,48341,OAKLAND,MID980568836,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:MID980568836,,https://echo.epa.gov/detailed-facility-report?fid=110001298827,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110001298827,"https://map22.epa.gov/cimc/latLong&params=42.61935,-83.28683"
ELLIOT INDUSTRIES,11 BECKWITH AVE,BINGHAMTON,NY,13901,BROOME,NYD000818468,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:NYD000818468,,https://echo.epa.gov/detailed-facility-report?fid=110000837943,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000837943,"https://map22.epa.gov/cimc/latLong&params=42.147075,-75.884541"
CANANDAIGUA VA MEDICAL CENTER,400 FORT HILL AVENUE,CANANDAIGUA,NY,14424,ONTARIO,NY9360010251,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200646,,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110001579284,"https://map22.epa.gov/cimc/latLong&params=42.900636,-77.271252"
USDOT USCG ANT COOS BAY,4333 BOAT BASIN RD,CHARLESTON,OR,97420,COOS,OR7690308898,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=1001492,,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000841037,"https://map22.epa.gov/cimc/latLong&params=43.347778,-124.328333"
KOPPERS CO INCORPORATED - BRIDGEVILLE PLANT,262 MILLER RUN ROAD,BRIDGEVILLE,PA,15017,ALLEGHENY,PAD063764898,,https://www.epa.gov/node/129603,,https://echo.epa.gov/detailed-facility-report?fid=110000841563,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000841563,"https://map22.epa.gov/cimc/latLong&params=40.360709,-80.122782"
