Cleanup Name,Location Address,City Name,State Code,Postal Code,County Name,EPA ID,Brownfields Link CSV,RCRA CSV,Superfund Link CSV,ECHO Link CSV,Response Link CSV,RE-Powering CSV,FRS Link CSV,Map Site CSV
ENVIROSAFE SERVICES OF OHIO INC,876 OTTER CREEK RD.,OREGON,OH,43616,LUCAS,OHD045243706,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD045243706,,https://echo.epa.gov/detailed-facility-report?fid=110000384352,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000384352,"https://map22.epa.gov/cimc/latLong&params=41.66864,-83.464759"
"OHIO REFINING CO,",4001 CEDAR POINT ROAD,OREGON,OH,43616,LUCAS,OHD005057542,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD005057542,,https://echo.epa.gov/detailed-facility-report?fid=110000384361,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000384361,"https://map22.epa.gov/cimc/latLong&params=41.679167,-83.449722"
MAHLE ENGINE COMPONENTS USA INC,5130 N STATE ROUTE 60 NW,MCCONNELSVILLE,OH,43756,MORGAN,OHD986979466,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD986979466,,https://echo.epa.gov/detailed-facility-report?fid=110000384575,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000384575,"https://map22.epa.gov/cimc/latLong&params=39.67699,-81.8821"
BODYCOTE METALLURGICAL,900 E. HENNEPIN AVE.,MINNEAPOLIS,MN,55414,HENNEPIN,MND006252589,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:MND006252589,,https://echo.epa.gov/detailed-facility-report?fid=110000425530,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000425530,"https://map22.epa.gov/cimc/latLong&params=44.99149,-93.24096"
NORTHROP GRUMMAN SYSTEMS CORP. - BWI,7323 AVIATION BOULEVARD,LINTHICUM,MD,21090,ANNE ARUNDEL,MDD000619718,,https://www.epa.gov/node/111961,,https://echo.epa.gov/detailed-facility-report?fid=110000339526,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000339526,"https://map22.epa.gov/cimc/latLong&params=39.184551,-76.689422"
RACER PROPERTIES LLC PROPERTY,11032 TIDEWATER TRAIL,FREDERICKSBURG,VA,22408,SPOTSYLVANIA,VAD091222588,,https://www.epa.gov/node/119855,,https://echo.epa.gov/detailed-facility-report?fid=110000340925,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000340925,"https://map22.epa.gov/cimc/latLong&params=38.259206,-77.435289"
GENICOM CORP,ONE SOLUTIONS WAY,WAYNESBORO,VA,22980,WAYNESBORO CITY,VAD003132438,,https://www.epa.gov/node/119883,,https://echo.epa.gov/detailed-facility-report?fid=110000341513,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000341513,"https://map22.epa.gov/cimc/latLong&params=38.091165,-78.870526"
CHEMICAL SOLVENTS INC,3751 JENNINGS ROAD,CLEVELAND,OH,44109,CUYAHOGA,OHD052937885,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD052937885,,https://echo.epa.gov/detailed-facility-report?fid=110000386804,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000386804,"https://map22.epa.gov/cimc/latLong&params=41.4525,-81.68771"
SCRAPCOM,3301 MONROE AVE.,CLEVELAND,OH,44113,CUYAHOGA,OHD980681571,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD980681571,,https://echo.epa.gov/detailed-facility-report?fid=110000387064,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000387064,"https://map22.epa.gov/cimc/latLong&params=41.47834,-81.7078"
GENERAL ENVIRONMENTAL MANAGEMENT LLC (1318005977),2655 TRANSPORT ROAD,CLEVELAND,OH,44115,CUYAHOGA,OHD004178612,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD004178612,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0505730,https://echo.epa.gov/detailed-facility-report?fid=110000387206,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000387206,"https://map22.epa.gov/cimc/latLong&params=41.48622,-81.6716"
HENTZEN COATINGS INC,1500 LATHEM STREET,BATAVIA,IL,60510,KANE,ILD095309647,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:ILD095309647,,https://echo.epa.gov/detailed-facility-report?fid=110000433585,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000433585,"https://map22.epa.gov/cimc/latLong&params=41.857216,-88.27503"
UOP LLC MCCOOK PLANT,8400 JOLIET ROAD,MC COOK,IL,60525,COOK,ILD000814640,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:ILD000814640,,https://echo.epa.gov/detailed-facility-report?fid=110000433638,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000433638,"https://map22.epa.gov/cimc/latLong&params=41.79967,-87.82744"
"SHERWIN WILLIAMS COMPANY, THE",11541 SOUTH CHAMPLAIN AVENUE,CHICAGO,IL,60628,COOK,ILD005456439,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:ILD005456439,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0500202,https://echo.epa.gov/detailed-facility-report?fid=110000434913,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000434913,"https://map22.epa.gov/cimc/latLong&params=41.684283,-87.607018"
"FEDERAL-MOGUL POWERTRAIN, LLC",300 INDUSTRIAL PARK ROAD S.E.,BLACKSBURG,VA,24060,MONTGOMERY,VAD054039961,,https://www.epa.gov/node/119765,,https://echo.epa.gov/detailed-facility-report?fid=110000342987,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000342987,"https://map22.epa.gov/cimc/latLong&params=37.192593,-80.397575"
"US CERAMIC TILE CO., INC.",10233 SANDYVILLE RD SE,EAST SPARTA,OH,44626,STARK,OHD077752566,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD077752566,,https://echo.epa.gov/detailed-facility-report?fid=110000390381,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000390381,"https://map22.epa.gov/cimc/latLong&params=40.65767,-81.35735"
STARK CERAMICS,600 WEST CHURCH STREET,EAST CANTON,OH,44730,STARK,OHD004461711,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD004461711,,https://echo.epa.gov/detailed-facility-report?fid=110000391255,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000391255,"https://map22.epa.gov/cimc/latLong&params=40.78399,-81.29265"
J & M PLATING,1711 SEMINARY ST.,ROCKFORD,IL,61104,WINNEBAGO,ILD990783995,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:ILD990783995,,https://echo.epa.gov/detailed-facility-report?fid=110000437126,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000437126,"https://map22.epa.gov/cimc/latLong&params=42.24968,-89.0955"
POLYNT COMPOSITES USA INC.,920 TIGHTSQUEEZE IND US TRIAL RD,CHATHAM,VA,24531,PITTSYLVANIA COUNTY,VAD055046049,,https://www.epa.gov/node/118039,,https://echo.epa.gov/detailed-facility-report?fid=110000343940,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000343940,"https://map22.epa.gov/cimc/latLong&params=36.777069,-79.410384"
"SAFETY-KLEEN SYSTEMS, INC.",10 INDUSTRIAL PARK DR.,WHEELING,WV,26003,OHIO,WVD981034101,,https://www.epa.gov/node/126685,,https://echo.epa.gov/detailed-facility-report?fid=110000344609,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000344609,"https://map22.epa.gov/cimc/latLong&params=40.07892,-80.719778"
BALL AEROSOL & SPECIALTY CONTAINER INC,3028 BIRCH DRIVE,WEIRTON,WV,26062,HANCOCK,WVD041517830,,https://www.epa.gov/node/126385,,https://echo.epa.gov/detailed-facility-report?fid=110000344725,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000344725,"https://map22.epa.gov/cimc/latLong&params=40.389407,-80.626761"
MPM SILICONES LLC,10851 ENERGY HIGHWAY,FRIENDLY,WV,26146,TYLER,WVD004325353,,https://www.epa.gov/node/126665,,https://echo.epa.gov/detailed-facility-report?fid=110000344814,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000344814,"https://map22.epa.gov/cimc/latLong&params=39.484572,-81.093403"
DAIMLER TRUCKS NORTH AMERICA LLC,11550 STATESVILLE BOULEVARD,CLEVELAND,NC,27013,ROWAN,NCD018652339,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:NCD018652339,,https://echo.epa.gov/detailed-facility-report?fid=110000345083,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000345083,"https://map22.epa.gov/cimc/latLong&params=35.7297,-80.69156"
PCS PURIFIED PHOSPHATES,10818 PADDYS RUN ROAD,HARRISON,OH,45030,HAMILTON,OHD071267090,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD071267090,,https://echo.epa.gov/detailed-facility-report?fid=110000392325,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000392325,"https://map22.epa.gov/cimc/latLong&params=39.27894,-84.69169"
BWAY CORP BWAY PACKAGING DIV,8200 BROADWELL ROAD,CINCINNATI,OH,45244,HAMILTON,OHD004253225,,https://www.epa.gov/hwcorrectiveactionsites/epa-rcra-id-OHD004253225,,https://echo.epa.gov/detailed-facility-report?fid=110000393878,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000393878,"https://map22.epa.gov/cimc/latLong&params=39.13886,-84.32126"
DYNO NOBEL INC,5570 STATE RTE. 3 N.,WOLF LAKE,IL,62998,UNION,ILD982624777,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:ILD982624777,,https://echo.epa.gov/detailed-facility-report?fid=110000440041,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000440041,"https://map22.epa.gov/cimc/latLong&params=37.516449,-89.439794"
SAFETY-KLEEN SYSTEMS INC,123 RED LION ROAD,VINCENTOWN,NJ,08088,BURLINGTON,NJD000768101,,https://www.epa.gov/node/187471,,https://echo.epa.gov/detailed-facility-report?fid=110000321394,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000321394,"https://map22.epa.gov/cimc/latLong&params=39.8935,-74.74419"
"PERFORMANCE FIBERS, INC.",338 PEA RDG RD,NEW HILL,NC,27562,WAKE,NCD053488409,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:NCD053488409,,https://echo.epa.gov/detailed-facility-report?fid=110000346974,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000346974,"https://map22.epa.gov/cimc/latLong&params=35.62051,-79.0504"
CAROLINA STALITE CO AQUADALE PROPERTIES,12423 OLD AQUADALE RD,NORWOOD,NC,28128,STANLY,NCD000773655,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:NCD000773655,,https://echo.epa.gov/detailed-facility-report?fid=110000348749,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000348749,"https://map22.epa.gov/cimc/latLong&params=35.229466,-80.243888"
"DPH-DAS LLC, HOME AVENUE",2701 HOME AVENUE,DAYTON,OH,45417,MONTGOMERY,OHD000817023,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD000817023,,https://echo.epa.gov/detailed-facility-report?fid=110000394797,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000394797,"https://map22.epa.gov/cimc/latLong&params=39.74745,-84.23825"
DUPONT ELECTRONIC POLYMERS,1515 NICHOLAS RD,DAYTON,OH,45417,MONTGOMERY,OHD004855292,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD004855292,,https://echo.epa.gov/detailed-facility-report?fid=110000394804,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000394804,"https://map22.epa.gov/cimc/latLong&params=39.733992,-84.220103"
GENERAL MOTORS MORAINE ASSEMBLY,2601 WEST STROOP ROAD,MORAINE,OH,45439,MONTGOMERY,OHD041063074,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD041063074,,https://echo.epa.gov/detailed-facility-report?fid=110000394886,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000394886,"https://map22.epa.gov/cimc/latLong&params=39.69657,-84.21485"
SUPERIOR FORGE & STEEL CORPORATION (0302020300),1820 MCCLAIN RD.,LIMA,OH,45804,ALLEN,OHD987033131,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD987033131,,https://echo.epa.gov/detailed-facility-report?fid=110000395484,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000395484,"https://map22.epa.gov/cimc/latLong&params=40.71044,-84.10831"
DEMENNO-KERDOON DBA WORLD OIL RECYCLING,2000 N ALAMEDA ST,COMPTON,CA,90222,LOS ANGELES,CAT080013352,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:CAT080013352,,https://echo.epa.gov/detailed-facility-report?fid=110000474353,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000474353,"https://map22.epa.gov/cimc/latLong&params=33.910116,-118.221906"
CHEVRON  PRODUCTS  CO - PERTH AMBOY REFINERY,1200 STATE ST,PERTH AMBOY,NJ,08861,MIDDLESEX,NJD081982902,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:NJD081982902,,https://echo.epa.gov/detailed-facility-report?fid=110000322259,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000322259,"https://map22.epa.gov/cimc/latLong&params=40.536971,-74.264946"
CAROLINA STALITE CO AQUADALE PROPERTIES,12423 OLD AQUADALE RD,NORWOOD,NC,28128,STANLY,NCD003152642,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:NCD003152642,,https://echo.epa.gov/detailed-facility-report?fid=110000348749,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000348749,"https://map22.epa.gov/cimc/latLong&params=35.229466,-80.243888"
COLFAX TREATING CO LLC,74 WADLEY RD,PINEVILLE,LA,71360,RAPIDES,LAD008184616,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:LAD008184616,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0604556,https://echo.epa.gov/detailed-facility-report?fid=110000450547,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000450547,"https://map22.epa.gov/cimc/latLong&params=31.31959,-92.42429"
LANXESS CORPORATION - CENTRAL PLANT,2226 HAYNESVILLE HIGHWAY,EL DORADO,AR,71730,UNION,ARD043195429,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:ARD043195429,,https://echo.epa.gov/detailed-facility-report?fid=110000451109,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000451109,"https://map22.epa.gov/cimc/latLong&params=33.1831,-92.7069"
"HELENA INDUSTRIES, LLC",101 MARTIN LUTHER KING JR DR W,WEST HELENA,AR,72390,PHILLIPS COUNTY,ARD030414494,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:ARD030414494,,https://echo.epa.gov/detailed-facility-report?fid=110000452359,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000452359,"https://map22.epa.gov/cimc/latLong&params=34.553389,-90.655583"
GENERAL ELECTRIC CO CPQP,381 BROADWAY,FORT EDWARD,NY,12828,WASHINGTON,NYD093256063,,https://www.epa.gov/node/186699,,https://echo.epa.gov/detailed-facility-report?fid=110000324569,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000324569,"https://map22.epa.gov/cimc/latLong&params=43.285655,-73.589193"
SI GROUP TX OPERATIONS,702 FM 523,FREEPORT,TX,77541,BRAZORIA,TXD010797389,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:TXD010797389,,https://echo.epa.gov/detailed-facility-report?fid=110000463427,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000463427,"https://map22.epa.gov/cimc/latLong&params=28.9744,-95.34453"
OILTANKING TEXAS CITY TERMINAL,2800 TX-197-LOOP S,TEXAS CITY,TX,77590,GALVESTON,TXD980626782,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:TXD980626782,,https://echo.epa.gov/detailed-facility-report?fid=110000463828,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000463828,"https://map22.epa.gov/cimc/latLong&params=29.360344,-94.907173"
EMPIRE SPECIALTY STEEL INC,90 WILLOWBROOK AVENUE,DUNKIRK,NY,14048,CHAUTAUQUA,NYD030215529,,https://www.epa.gov/node/186639,,https://echo.epa.gov/detailed-facility-report?fid=110000326451,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000326451,"https://map22.epa.gov/cimc/latLong&params=42.469026,-79.339102"
OCCIDENTAL CHEMICAL CORP NIAGARA PLANT,4700 BUFFALO AVE,NIAGARA FALLS,NY,14304,NIAGARA,NYD000824482,,https://www.epa.gov/node/186777,,https://echo.epa.gov/detailed-facility-report?fid=110000327361,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000327361,"https://map22.epa.gov/cimc/latLong&params=43.08275,-79.008583"
"VALBRUNA SLATER STAINLESS, INC",2400 TAYLOR STREET WEST,FORT WAYNE,IN,46802,ALLEN,IND005447537,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:IND005447537,,https://echo.epa.gov/detailed-facility-report?fid=110000400851,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000400851,"https://map22.epa.gov/cimc/latLong&params=41.06762,-85.17348"
DELPHI DELCO ELECTRONICS SYSTEM PLANT 1,700 EAST FIRMIN STREET,KOKOMO,IN,46902,HOWARD,IND006068050,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:IND006068050,,https://echo.epa.gov/detailed-facility-report?fid=110000401388,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000401388,"https://map22.epa.gov/cimc/latLong&params=40.467927,-86.123145"
WORLD KITCHEN LLC - CHARLEROI PLANT,100 8TH STREET,CHARLEROI,PA,15022,WASHINGTON,PAD004326542,,https://www.epa.gov/node/134591,,https://echo.epa.gov/detailed-facility-report?fid=110000328770,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000328770,"https://map22.epa.gov/cimc/latLong&params=40.143112,-79.899521"
SAFETY-KLEEN SYS  (414502),650 NOBLE DR.,WEST MIFFLIN,PA,15122,ALLEGHENY,PAD982576258,,https://www.epa.gov/node/134093,,https://echo.epa.gov/detailed-facility-report?fid=110000329314,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000329314,"https://map22.epa.gov/cimc/latLong&params=40.361155,-79.931012"
NEVILLE CHEM CO/PGH,2800 NEVILLE RD,PITTSBURGH,PA,15225,ALLEGHENY,PAD004334157,,https://www.epa.gov/node/131563,,https://echo.epa.gov/detailed-facility-report?fid=110000329644,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000329644,"https://map22.epa.gov/cimc/latLong&params=40.502751,-80.099137"
BEDFORD MATERIALS CO INC,7676 ALLEGHENY RD,MANNS CHOICE,PA,15550,BEDFORD,PAD057631889,,https://www.epa.gov/node/129611,,https://echo.epa.gov/detailed-facility-report?fid=110000330044,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000330044,"https://map22.epa.gov/cimc/latLong&params=40.043064,-78.55813"
SIGNATURE ALUM INC/GREENVILLE,93 WERNER ROAD,GREENVILLE,PA,16125,MERCER,PAD004329520,,https://www.epa.gov/node/130709,,https://echo.epa.gov/detailed-facility-report?fid=110000331043,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000331043,"https://map22.epa.gov/cimc/latLong&params=41.435589,-80.365925"
TRANSIGN INC,3777 AIRPORT RD.,WATERFORD,MI,48329,OAKLAND,MID006007967,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:MID006007967,,https://echo.epa.gov/detailed-facility-report?fid=110000405400,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000405400,"https://map22.epa.gov/cimc/latLong&params=42.692989,-83.407481"
THREE RIVERS REFINERY,301 WEST LEROY ST.,THREE RIVERS,TX,78071,LIVE OAK COUNTY,TXD990709966,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:TXD990709966,,https://echo.epa.gov/detailed-facility-report?fid=110000464462,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000464462,"https://map22.epa.gov/cimc/latLong&params=28.456667,-98.190277"
NAVAL AIR STATION CORPUS CHRISTI,8851 OCEAN DR,CORPUS CHRISTI,TX,78419,NUECES,TX7170022787,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:TX7170022787,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0603608,https://echo.epa.gov/detailed-facility-report?fid=110000465078,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000465078,"https://map22.epa.gov/cimc/latLong&params=27.703637,-97.285286"
"BPI-WESTMINSTER, LLC(OWNER)/ARCADIS (OP)",2480 WEST 70TH AVENUE,DENVER,CO,80221,ADAMS,COD007057995,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:COD007057995,,https://echo.epa.gov/detailed-facility-report?fid=110000467094,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000467094,"https://map22.epa.gov/cimc/latLong&params=39.82222,-105.01609"
ELECTRO-PLATERS OF YORK INC,209 E. WILLOW ST.,WRIGHTSVILLE,PA,17368,YORK,PAD015139470,,https://www.epa.gov/node/130345,,https://echo.epa.gov/detailed-facility-report?fid=110000333372,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000333372,"https://map22.epa.gov/cimc/latLong&params=40.021342,-76.522853"
WORLD RESOURCES CO/DBA WRC PROC INC,170 WALNUT LN.,POTTSVILLE,PA,17901,SCHUYLKILL,PAD981038227,,https://www.epa.gov/node/134603,,https://echo.epa.gov/detailed-facility-report?fid=110000334567,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000334567,"https://map22.epa.gov/cimc/latLong&params=40.687306,-76.232913"
GATES CORPORATION,2121 INDUSTRIAL PARK ROAD,BOONE,IA,50036,BOONE,IAD085372506,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:IAD085372506,,https://echo.epa.gov/detailed-facility-report?fid=110000412599,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000412599,"https://map22.epa.gov/cimc/latLong&params=42.06432,-93.85703"
TXI OPERATIONS LP,245 WARD ROAD,MIDLOTHIAN,TX,76065,ELLIS,TXD007349327,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:TXD007349327,,https://echo.epa.gov/detailed-facility-report?fid=110000459209,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000459209,"https://map22.epa.gov/cimc/latLong&params=32.462679,-97.025572"
HUNTINGTON PACIFIC CERAMICS,3600 CONWAY,FORT WORTH,TX,76111,TARRANT,TXD020335170,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:TXD020335170,,https://echo.epa.gov/detailed-facility-report?fid=110000459557,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000459557,"https://map22.epa.gov/cimc/latLong&params=32.76799,-97.29582"
BETHLEHEM APPARATUS CO INC,890 FRONT ST.,HELLERTOWN,PA,18055,NORTHAMPTON,PAD002390961,,https://www.epa.gov/node/129627,,https://echo.epa.gov/detailed-facility-report?fid=110000334932,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000334932,"https://map22.epa.gov/cimc/latLong&params=40.5814,-75.343344"
LANGDALE FOREST PRODS  CO,555 S. MAIN ST.,SWEETWATER,TN,37874,MONROE,TND003493103,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:TND003493103,,https://echo.epa.gov/detailed-facility-report?fid=110000373257,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000373257,"https://map22.epa.gov/cimc/latLong&params=35.59275,-84.4682"
